review,stars,date,neg,neu,pos,compound
, 5 ,2022/04,0.0,0.0,0.0,0.0
"Wow. Super comfy recliner seats. The popcorn was the best ever, I reckon. So good to be able to enjoy Ben and Jerry's as well. Good sound, easy access, comfortable temperature. …", 5 ,2022/04,0.0,0.416,0.584,0.9826
comfortable seats, 5 ,2022/04,0.0,0.233,0.767,0.5106
, 5 ,2022/04,0.0,0.0,0.0,0.0
The best cinemas i have been in Australia..!  Recliner seat is just awesome. Sound is good.! Far better than event cinemas, 5 ,2022/04,0.0,0.591,0.409,0.915
Very nice place to do shopping, 5 ,2022/04,0.0,0.618,0.382,0.4754
, 4 ,2022/04,0.0,0.0,0.0,0.0
, 5 ,2022/04,0.0,0.0,0.0,0.0
Awesome, 5 ,2022/04,0.0,0.0,1.0,0.6249
"recliner not working, overpriced. large combo was $20", 1 ,2022/04,0.0,1.0,0.0,0.0
, 5 ,2022/04,0.0,0.0,0.0,0.0
Went to watch Kashmir Files yesterday and booked 2 tickets for extreme screen and found my Chair wasn't working at all need to sit straight for 3hrs and it was dirty with popcorns in sides and due to that I got neck pain next morning. …, 1 ,2022/04,0.129,0.832,0.04,-0.6486
, 3 ,2022/04,0.0,0.0,0.0,0.0
Excellent recliner seats.., 5 ,2022/04,0.0,0.351,0.649,0.5719
, 4 ,2022/04,0.0,0.0,0.0,0.0
, 5 ,2022/04,0.0,0.0,0.0,0.0
I visit Hoyts cinema yesterday for watching Gangubai Indian movie. And we ordered a large combo and hot chips 🍟. The popcorn’s are smelling bad like not fresh. And after that they bring the chips or fries to cinema omg the chips are reall …, 1 ,2022/04,0.116,0.83,0.053,-0.4519
Seats are comfortable and spacious.  Better than others out there, 5 ,2022/04,0.0,0.563,0.437,0.7351
"Great comfy seats, but seats seem a bit worn out now due to age", 4 ,2022/04,0.171,0.673,0.156,-0.0644
, 5 ,2022/04,0.0,0.0,0.0,0.0
, 5 ,2022/03,0.0,0.0,0.0,0.0
, 5 ,2022/03,0.0,0.0,0.0,0.0
, 4 ,2022/03,0.0,0.0,0.0,0.0
Nice n comfy, 5 ,2022/03,0.0,0.263,0.737,0.4215
, 4 ,2022/02,0.0,0.0,0.0,0.0
Staff not professional very rude I wouldn’t recommend to anyone every time ask for your vacation certificate after that ask for your proof of identity even I showed my vac certificate, 1 ,2022/02,0.0,0.832,0.168,0.6663
"Really good their chair can let you semi lie down, price is fair as well.", 4 ,2022/02,0.0,0.612,0.388,0.7645
Cinema � …, 3 ,2022/02,0.0,1.0,0.0,0.0
, 5 ,2022/02,0.0,0.0,0.0,0.0
"Great prices, better than average movie food and reclining seats.", 5 ,2022/02,0.0,0.533,0.467,0.7906
Always a pleasure being there � …, 5 ,2022/02,0.0,0.448,0.552,0.5719
, 5 ,2022/02,0.0,0.0,0.0,0.0
, 5 ,2022/02,0.0,0.0,0.0,0.0
, 5 ,2022/02,0.0,0.0,0.0,0.0
Recliner seats without the Gold Class price!, 4 ,2022/02,0.0,1.0,0.0,0.0
"This cinema practices medical apartheid, discrimination against people's personal health decisions is a crime. Boycott this place.", 2 ,2022/01,0.293,0.707,0.0,-0.7003
Recliners are great.  Theatre was clean.  Would recommend., 4 ,2022/01,0.0,0.35,0.65,0.8519
, 5 ,2022/01,0.0,0.0,0.0,0.0
Comfortable seats, 4 ,2022/01,0.0,0.233,0.767,0.5106
"The worst experience had on Christmas day at sunny bank.
This theater encouraged members to sign up for membership by promoting a 10% discount, but eventually did not get a discount and had to clean up and sit down …", 1 ,2022/01,0.059,0.736,0.206,0.6597
The xtreme cinemas are very spacious and won't have the person infront of you blocking the view., 5 ,2022/01,0.14,0.86,0.0,-0.3818
Loved the chairs 👍� …, 5 ,2022/01,0.0,0.435,0.565,0.5994
, 5 ,2022/01,0.0,0.0,0.0,0.0
Nice cinema but food and drink prices way too expensive. A small soft drink was $8.90. If you want lollies it's $11.90 a bag, 3 ,2022/01,0.0,0.857,0.143,0.3291
, 5 ,2022/01,0.0,0.0,0.0,0.0
"Cinemas are nice, recliners are sometimes broken. Staff attitudes can really vary from welcoming to horrible though.", 1 ,2022/01,0.258,0.509,0.233,-0.1621
"Recliners was stuck and the staff told us after the movie that it was our fault for not asking them during the movie. However when we were watching the movie, it was a very popular movie and it was a hassle to go out and step over …", 1 ,2022/01,0.094,0.843,0.062,-0.1548
, 5 ,2022/01,0.0,0.0,0.0,0.0
"Comfy chairs, good sound", 4 ,2022/01,0.0,0.508,0.492,0.4404
The recliner chair are very comfy and the customer service is very welcoming, 5 ,2022/01,0.0,0.79,0.21,0.4927
Clean and comfortable. The best cinemas in Brisbane., 5 ,2022/01,0.0,0.329,0.671,0.8807
"Having not been to the cinema in years, I thoroughly the environment from seating to the screen.", 5 ,2022/01,0.0,1.0,0.0,0.0
"Great new seats
Great food
Great movie with popcorn", 5 ,2022/01,0.0,0.328,0.672,0.9231
Amazing sound system and comfy seating, 5 ,2022/01,0.0,0.568,0.432,0.5859
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
Hoyts over events anytime ... Hard to find entrance for night shows as  shopping centre closes early ... it would be more helpful if yous mention the entrance when purchased online ., 4 ,2022/01,0.042,0.866,0.092,0.4005
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 3 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
"Xterme screen size is bigger than standard,recycling chairs,& good sound � …", 4 ,2022/01,0.0,0.756,0.244,0.4404
, 2 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
, 2 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Good cinemas with comfortable chairs, 5 ,2022/01,0.0,0.326,0.674,0.7351
Great seats but there’s no air conditioning in the cinemas. Felt like I was sitting in a sauna. Bit ridiculous how hot the cinemas can get. Needs ventilation ASAP., 1 ,2022/01,0.174,0.66,0.166,-0.0644
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Great cinemas, 5 ,2022/01,0.0,0.196,0.804,0.6249
Absolutely AMAZING service by the manager BEN. Helped us out with a technical difficulty from the app and delivered above and beyond. A true asset to your company., 5 ,2022/01,0.07,0.637,0.293,0.8283
, 4 ,2022/01,0.0,0.0,0.0,0.0
We got noise from the theatre next door, 3 ,2022/01,0.0,1.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 3 ,2022/01,0.0,0.0,0.0,0.0
, 1 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
"Excellent service, All staff where very helpful, much Thanks", 5 ,2022/01,0.0,0.376,0.624,0.8737
Movies are good, 5 ,2022/01,0.0,0.408,0.592,0.4404
pretty good for the price you're paying, 5 ,2022/01,0.0,0.45,0.55,0.7269
, 5 ,2022/01,0.0,0.0,0.0,0.0
Love​ the​ recliner seats very​ comfy​ and​ plenty of​ room.​ Large screen​ and​ great​ sound.​ Feel​ like​ a​ gold class. The​ best​ cinema​ in​ Brisbane​ so far!, 5 ,2022/01,0.0,1.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
very friendly staff and super clean. comfy seats and decent price - but pricey compared to other cinemas but it’s worth it :), 5 ,2022/01,0.0,0.569,0.431,0.8978
Great cinema, 5 ,2022/01,0.0,0.196,0.804,0.6249
"Love it. Remind me Hoyts in Melb, its been awhile after months not going to cinema, finally we watch Fast and Furious 9.", 5 ,2022/01,0.128,0.727,0.145,0.128
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Very comfortable seats, 5 ,2022/01,0.0,0.358,0.642,0.5563
, 4 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
